,year,name,value,lastValue,rank
27,1996.7,We MUST meet up more,3577.0,3496.0,28
28,1996.7,Everyone is racist?,3433.0,3371.0,29
29,1996.7,Not learning languages,3427.0,3351.0,30
30,1996.7,Am I good?,3414.0,3407.0,31
31,1996.7,Women (fearful),3386.0,3299.0,32
32,1996.7,Hreflang,3370.0,3341.0,33
33,1996.7,What is KPI?,3364.0,3264.0,34
34,1996.7,Money,3344.0,3305.0,35
35,1996.7,Exams,3317.0,3298.0,36
36,1996.7,Travel,3313.0,3304.0,37
37,1996.7,Using chopsticks,3299.0,3204.0,38
38,1996.7,Why does my skin hate me?,3214.0,3209.0,39
39,1996.7,Getting swole,3199.0,3105.0,40
40,1996.7,I know pretty much everything,3168.0,3079.0,41
41,1996.7,Harry Potter,3164.0,3139.0,42
42,1996.7,Jupyter,3131.0,3077.0,43
43,1996.7,Brexit,3080.0,3044.0,44
44,1996.7,"Oh no, THIS is grown up",3056.0,2965.0,45
45,1996.7,Rap,2922.0,2859.0,46
0,1996.8,Food/drink,4322611.0,4218301.0,1
1,1996.8,Need a nap,3430983.0,3347678.0,2
2,1996.8,Chewing,2253681.0,2184446.0,3
3,1996.8,Cartoons,2171085.0,1316140.0,4
4,1996.8,RUNNING,1731555.0,1494164.0,5
5,1996.8,Tying my shoes,1640336.0,1508920.0,6
6,1996.8,The dark?,1605492.0,1427524.0,7
7,1996.8,Loud noises,1386551.0,1347392.0,8
8,1996.8,Bored. I might make noise,1142887.0,1142868.0,9
9,1996.8,I'm going to be sick,1117029.0,1116931.0,10
10,1996.8,Who the f**k is this?,794535.0,633080.0,11
11,1996.8,What colour is that?,731030.0,731024.0,12
12,1996.8,Teeth are the worst,712908.0,1337084.0,13
13,1996.8,Have I pooped myself?,699754.0,699740.0,14
14,1996.8,"No, don't carry me there",683062.0,683040.0,15
15,1996.8,Trampolines,539201.0,504359.0,16
16,1996.8,Walking,408126.0,408061.0,17
17,1996.8,Bugs,312974.0,312875.0,18
18,1996.8,My toy,302389.0,302347.0,19
19,1996.8,Eugh these clothes,276663.0,276655.0,20
20,1996.8,What is that smell?,258510.0,258425.0,21
21,1996.8,Games,242949.0,292740.0,22
22,1996.8,Who the frick is this?,162350.0,162330.0,23
23,1996.8,I don't know anything,3842.0,3816.0,24
24,1996.8,Women (interested),3711.0,3633.0,25
25,1996.8,When will I grow up?,3696.0,3610.0,26
26,1996.8,Oversized t-shirts,3681.0,3603.0,27
27,1996.8,We MUST meet up more,3635.0,3577.0,28
28,1996.8,Am I good?,3498.0,3414.0,29
29,1996.8,Everyone is racist?,3477.0,3433.0,30
30,1996.8,Not learning languages,3450.0,3427.0,31
31,1996.8,What is KPI?,3440.0,3364.0,32
32,1996.8,Hreflang,3438.0,3370.0,33
33,1996.8,Women (fearful),3399.0,3386.0,34
34,1996.8,Travel,3382.0,3313.0,35
35,1996.8,Money,3359.0,3344.0,36
36,1996.8,Exams,3344.0,3317.0,37
37,1996.8,Using chopsticks,3313.0,3299.0,38
38,1996.8,Why does my skin hate me?,3306.0,3214.0,39
39,1996.8,Getting swole,3263.0,3199.0,40
40,1996.8,Harry Potter,3205.0,3164.0,41
41,1996.8,Jupyter,3192.0,3131.0,42
42,1996.8,I know pretty much everything,3168.0,3168.0,43
43,1996.8,"Oh no, THIS is grown up",3148.0,3056.0,44
44,1996.8,Brexit,3147.0,3080.0,45
45,1996.8,Rap,2949.0,2922.0,46
0,1996.9,Food/drink,4444233.0,4322611.0,1
1,1996.9,Need a nap,3523784.0,3430983.0,2
2,1996.9,RUNNING,3457860.0,1731555.0,3
3,1996.9,Cartoons,2583630.0,2171085.0,4
4,1996.9,Chewing,2348218.0,2253681.0,5
5,1996.9,The dark?,1964970.0,1605492.0,6
6,1996.9,Loud noises,1468518.0,1386551.0,7
7,1996.9,Tying my shoes,1154790.0,1640336.0,8
8,1996.9,Teeth are the worst,1144710.0,712908.0,9
9,1996.9,Bored. I might make noise,1142966.0,1142887.0,10
10,1996.9,I'm going to be sick,1117095.0,1117029.0,11
11,1996.9,Who the f**k is this?,994140.0,794535.0,12
12,1996.9,What colour is that?,731114.0,731030.0,13
13,1996.9,Have I pooped myself?,699815.0,699754.0,14
14,1996.9,"No, don't carry me there",683151.0,683062.0,15
15,1996.9,Trampolines,611083.0,539201.0,16
16,1996.9,Walking,408149.0,408126.0,17
17,1996.9,Games,375480.0,242949.0,18
18,1996.9,Bugs,313025.0,312974.0,19
19,1996.9,My toy,302434.0,302389.0,20
20,1996.9,Eugh these clothes,276744.0,276663.0,21
21,1996.9,What is that smell?,258560.0,258510.0,22
22,1996.9,Who the frick is this?,162374.0,162350.0,23
23,1996.9,I don't know anything,3903.0,3842.0,24
24,1996.9,Women (interested),3772.0,3711.0,25
25,1996.9,When will I grow up?,3764.0,3696.0,26
26,1996.9,Oversized t-shirts,3745.0,3681.0,27
27,1996.9,We MUST meet up more,3691.0,3635.0,28
28,1996.9,Hreflang,3534.0,3438.0,29
29,1996.9,Everyone is racist?,3512.0,3477.0,30
30,1996.9,Am I good?,3502.0,3498.0,31
31,1996.9,Not learning languages,3490.0,3450.0,32
32,1996.9,What is KPI?,3476.0,3440.0,33
33,1996.9,Money,3434.0,3359.0,34
34,1996.9,Travel,3415.0,3382.0,35
35,1996.9,Women (fearful),3414.0,3399.0,36
36,1996.9,Using chopsticks,3368.0,3313.0,37
37,1996.9,Why does my skin hate me?,3358.0,3306.0,38
38,1996.9,Exams,3355.0,3344.0,39
39,1996.9,Getting swole,3265.0,3263.0,40
40,1996.9,Harry Potter,3257.0,3205.0,41
41,1996.9,Jupyter,3253.0,3192.0,42
42,1996.9,I know pretty much everything,3224.0,3168.0,43
43,1996.9,Brexit,3203.0,3147.0,44
44,1996.9,"Oh no, THIS is grown up",3170.0,3148.0,45
45,1996.9,Rap,2984.0,2949.0,46
0,1997.0,Food/drink,4514577.0,4444233.0,1
1,1997.0,RUNNING,3543054.0,3457860.0,2
2,1997.0,Need a nap,3538747.0,3523784.0,3
3,1997.0,Chewing,2351439.0,2348218.0,4
4,1997.0,Loud noises,1468540.0,1468518.0,5
5,1997.0,Tying my shoes,1165757.0,1154790.0,6
6,1997.0,Bored. I might make noise,1143008.0,1142966.0,7
7,1997.0,I'm going to be sick,1117146.0,1117095.0,8
8,1997.0,What colour is that?,731204.0,731114.0,9
9,1997.0,Have I pooped myself?,699815.0,699815.0,10
10,1997.0,"No, don't carry me there",683208.0,683151.0,11
11,1997.0,Trampolines,611139.0,611083.0,12
12,1997.0,Walking,408182.0,408149.0,13
13,1997.0,Bugs,313076.0,313025.0,14
14,1997.0,My toy,302499.0,302434.0,15
15,1997.0,Eugh these clothes,276801.0,276744.0,16
16,1997.0,What is that smell?,258605.0,258560.0,17
17,1997.0,Who the frick is this?,162386.0,162374.0,18
18,1997.0,I don't know anything,3971.0,3903.0,19
19,1997.0,Women (interested),3833.0,3772.0,20
20,1997.0,Oversized t-shirts,3800.0,3745.0,21
21,1997.0,When will I grow up?,3795.0,3764.0,22
22,1997.0,We MUST meet up more,3710.0,3691.0,23
23,1997.0,Hreflang,3558.0,3534.0,24
24,1997.0,What is KPI?,3550.0,3476.0,25
25,1997.0,Am I good?,3518.0,3502.0,26
26,1997.0,Everyone is racist?,3515.0,3512.0,27
27,1997.0,Money,3510.0,3434.0,28
28,1997.0,Not learning languages,3499.0,3490.0,29
29,1997.0,Travel,3485.0,3415.0,30
30,1997.0,Using chopsticks,3463.0,3368.0,31
31,1997.0,Women (fearful),3445.0,3414.0,32
32,1997.0,Why does my skin hate me?,3425.0,3358.0,33
33,1997.0,Exams,3355.0,3355.0,34
34,1997.0,Harry Potter,3319.0,3257.0,35
35,1997.0,Getting swole,3306.0,3265.0,36
36,1997.0,I know pretty much everything,3304.0,3224.0,37
37,1997.0,Brexit,3293.0,3203.0,38
38,1997.0,Jupyter,3290.0,3253.0,39
39,1997.0,"Oh no, THIS is grown up",3243.0,3170.0,40
40,1997.0,Rap,3075.0,2984.0,41
41,1997.0,Who the f**k is this?,0.0,994140.0,42
42,1997.0,Cartoons,0.0,2583630.0,43
43,1997.0,Teeth are the worst,0.0,1144710.0,44
44,1997.0,The dark?,0.0,1964970.0,45
45,1997.0,Games,0.0,375480.0,46
0,1997.1,Food/drink,4549636.0,4514577.0,1
1,1997.1,RUNNING,3607280.0,3543054.0,2
2,1997.1,Need a nap,3555698.0,3538747.0,3
3,1997.1,Chewing,2358619.0,2351439.0,4
4,1997.1,Loud noises,1468577.0,1468540.0,5
5,1997.1,Tying my shoes,1195069.0,1165757.0,6
6,1997.1,Bored. I might make noise,1143048.0,1143008.0,7
7,1997.1,I'm going to be sick,1117232.0,1117146.0,8
8,1997.1,What colour is that?,731226.0,731204.0,9
9,1997.1,Have I pooped myself?,699849.0,699815.0,10
10,1997.1,"No, don't carry me there",683273.0,683208.0,11
11,1997.1,Trampolines,611184.0,611139.0,12
12,1997.1,Walking,408245.0,408182.0,13
13,1997.1,Bugs,313135.0,313076.0,14
14,1997.1,My toy,302587.0,302499.0,15
15,1997.1,Eugh these clothes,276861.0,276801.0,16
16,1997.1,What is that smell?,258658.0,258605.0,17
17,1997.1,Who the frick is this?,162431.0,162386.0,18
18,1997.1,I don't know anything,4059.0,3971.0,19
19,1997.1,When will I grow up?,3846.0,3795.0,20
20,1997.1,Women (interested),3833.0,3833.0,21
21,1997.1,Oversized t-shirts,3808.0,3800.0,22
22,1997.1,We MUST meet up more,3766.0,3710.0,23
23,1997.1,Hreflang,3590.0,3558.0,24
24,1997.1,What is KPI?,3583.0,3550.0,25
25,1997.1,Money,3561.0,3510.0,26
26,1997.1,Everyone is racist?,3557.0,3515.0,27
27,1997.1,Am I good?,3549.0,3518.0,28
28,1997.1,Travel,3535.0,3485.0,29
29,1997.1,Using chopsticks,3532.0,3463.0,30
30,1997.1,Not learning languages,3523.0,3499.0,31
31,1997.1,Women (fearful),3490.0,3445.0,32
32,1997.1,Why does my skin hate me?,3428.0,3425.0,33
33,1997.1,Getting swole,3389.0,3306.0,34
34,1997.1,Exams,3365.0,3355.0,35
35,1997.1,I know pretty much everything,3363.0,3304.0,36
36,1997.1,Jupyter,3343.0,3290.0,37
37,1997.1,Harry Potter,3332.0,3319.0,38
38,1997.1,Brexit,3323.0,3293.0,39
39,1997.1,"Oh no, THIS is grown up",3245.0,3243.0,40
40,1997.1,Rap,3083.0,3075.0,41
41,1997.1,Games,0.0,0.0,42
42,1997.1,Teeth are the worst,0.0,0.0,43
43,1997.1,Cartoons,0.0,0.0,44
44,1997.1,Who the f**k is this?,0.0,0.0,45
45,1997.1,The dark?,0.0,0.0,46
0,1997.2,Food/drink,4624649.0,4549636.0,1
1,1997.2,RUNNING,3727024.0,3607280.0,2
2,1997.2,Need a nap,3585012.0,3555698.0,3
3,1997.2,Chewing,2382437.0,2358619.0,4
4,1997.2,Loud noises,1484565.0,1468577.0,5
5,1997.2,Tying my shoes,1255169.0,1195069.0,6
6,1997.2,Bored. I might make noise,1143100.0,1143048.0,7
7,1997.2,I'm going to be sick,1117265.0,1117232.0,8
8,1997.2,What colour is that?,731227.0,731226.0,9
9,1997.2,Have I pooped myself?,699889.0,699849.0,10
10,1997.2,"No, don't carry me there",683354.0,683273.0,11
11,1997.2,Trampolines,631799.0,611184.0,12
12,1997.2,Cartoons,545310.0,0.0,13
13,1997.2,Walking,408328.0,408245.0,14
14,1997.2,The dark?,403982.0,0.0,15
15,1997.2,Teeth are the worst,337698.0,0.0,16
16,1997.2,Bugs,313191.0,313135.0,17
17,1997.2,My toy,302670.0,302587.0,18
18,1997.2,Eugh these clothes,276930.0,276861.0,19
19,1997.2,What is that smell?,258665.0,258658.0,20
20,1997.2,Who the f**k is this?,198268.0,0.0,21
21,1997.2,Who the frick is this?,162523.0,162431.0,22
22,1997.2,Games,82052.0,0.0,23
23,1997.2,I don't know anything,4100.0,4059.0,24
24,1997.2,When will I grow up?,3920.0,3846.0,25
25,1997.2,We MUST meet up more,3866.0,3766.0,26
26,1997.2,Women (interested),3866.0,3833.0,27
27,1997.2,Oversized t-shirts,3829.0,3808.0,28
28,1997.2,Hreflang,3630.0,3590.0,29
29,1997.2,Am I good?,3629.0,3549.0,30
30,1997.2,Money,3608.0,3561.0,31
31,1997.2,Everyone is racist?,3603.0,3557.0,32
32,1997.2,What is KPI?,3596.0,3583.0,33
33,1997.2,Travel,3586.0,3535.0,34
34,1997.2,Not learning languages,3576.0,3523.0,35
35,1997.2,Women (fearful),3564.0,3490.0,36
36,1997.2,Using chopsticks,3563.0,3532.0,37
37,1997.2,Why does my skin hate me?,3476.0,3428.0,38
38,1997.2,Getting swole,3452.0,3389.0,39
39,1997.2,Jupyter,3443.0,3343.0,40
40,1997.2,I know pretty much everything,3429.0,3363.0,41
41,1997.2,Exams,3393.0,3365.0,42
42,1997.2,Harry Potter,3365.0,3332.0,43
43,1997.2,Brexit,3352.0,3323.0,44
44,1997.2,"Oh no, THIS is grown up",3279.0,3245.0,45
45,1997.2,Rap,3167.0,3083.0,46
0,1997.3,Food/drink,4684708.0,4624649.0,1
1,1997.3,RUNNING,3824104.0,3727024.0,2
2,1997.3,Need a nap,3611321.0,3585012.0,3
3,1997.3,Chewing,2410988.0,2382437.0,4
4,1997.3,Loud noises,1502845.0,1484565.0,5
5,1997.3,Tying my shoes,1307835.0,1255169.0,6
6,1997.3,Bored. I might make noise,1143177.0,1143100.0,7
7,1997.3,I'm going to be sick,1117302.0,1117265.0,8
8,1997.3,What colour is that?,731249.0,731227.0,9
9,1997.3,Have I pooped myself?,699899.0,699889.0,10
10,1997.3,"No, don't carry me there",683401.0,683354.0,11
11,1997.3,Trampolines,645152.0,631799.0,12
12,1997.3,The dark?,463684.0,403982.0,13
13,1997.3,Walking,408376.0,408328.0,14
14,1997.3,Cartoons,401228.0,545310.0,15
15,1997.3,Bugs,313287.0,313191.0,16
16,1997.3,My toy,302759.0,302670.0,17
17,1997.3,Eugh these clothes,276959.0,276930.0,18
18,1997.3,Teeth are the worst,260628.0,337698.0,19
19,1997.3,What is that smell?,258757.0,258665.0,20
20,1997.3,Who the f**k is this?,209864.0,198268.0,21
21,1997.3,Who the frick is this?,162602.0,162523.0,22
22,1997.3,Games,84804.0,82052.0,23
23,1997.3,I don't know anything,4169.0,4100.0,24
24,1997.3,We MUST meet up more,3948.0,3866.0,25
25,1997.3,When will I grow up?,3934.0,3920.0,26
26,1997.3,Women (interested),3915.0,3866.0,27
27,1997.3,Oversized t-shirts,3891.0,3829.0,28
28,1997.3,Hreflang,3724.0,3630.0,29
29,1997.3,Am I good?,3695.0,3629.0,30
30,1997.3,What is KPI?,3683.0,3596.0,31
31,1997.3,Money,3677.0,3608.0,32
32,1997.3,Everyone is racist?,3653.0,3603.0,33
33,1997.3,Women (fearful),3650.0,3564.0,34
34,1997.3,Travel,3620.0,3586.0,35
35,1997.3,Not learning languages,3620.0,3576.0,36
36,1997.3,Using chopsticks,3600.0,3563.0,37
37,1997.3,Why does my skin hate me?,3569.0,3476.0,38
38,1997.3,Getting swole,3481.0,3452.0,39
39,1997.3,Exams,3456.0,3393.0,40
40,1997.3,Jupyter,3445.0,3443.0,41
41,1997.3,I know pretty much everything,3434.0,3429.0,42
42,1997.3,Brexit,3428.0,3352.0,43
43,1997.3,Harry Potter,3379.0,3365.0,44
44,1997.3,"Oh no, THIS is grown up",3315.0,3279.0,45
45,1997.3,Rap,3241.0,3167.0,46
0,1997.4,Food/drink,4788910.0,4684708.0,1
1,1997.4,RUNNING,3955429.0,3824104.0,2
2,1997.4,Need a nap,3663356.0,3611321.0,3
3,1997.4,Chewing,2438944.0,2410988.0,4
4,1997.4,Loud noises,1559904.0,1502845.0,5
5,1997.4,Tying my shoes,1393665.0,1307835.0,6
6,1997.4,Cartoons,1156500.0,401228.0,7
7,1997.4,Bored. I might make noise,1143271.0,1143177.0,8
8,1997.4,I'm going to be sick,1117388.0,1117302.0,9
9,1997.4,What colour is that?,731299.0,731249.0,10
10,1997.4,The dark?,721200.0,463684.0,11
11,1997.4,Trampolines,700085.0,645152.0,12
12,1997.4,Have I pooped myself?,699986.0,699899.0,13
13,1997.4,"No, don't carry me there",683429.0,683401.0,14
14,1997.4,Teeth are the worst,609300.0,260628.0,15
15,1997.4,Who the f**k is this?,515700.0,209864.0,16
16,1997.4,Walking,408449.0,408376.0,17
17,1997.4,Bugs,313353.0,313287.0,18
18,1997.4,My toy,302788.0,302759.0,19
19,1997.4,Eugh these clothes,277023.0,276959.0,20
20,1997.4,What is that smell?,258780.0,258757.0,21
21,1997.4,Games,186300.0,84804.0,22
22,1997.4,Who the frick is this?,162661.0,162602.0,23
23,1997.4,I don't know anything,4194.0,4169.0,24
24,1997.4,We MUST meet up more,4020.0,3948.0,25
25,1997.4,Women (interested),3996.0,3915.0,26
26,1997.4,When will I grow up?,3936.0,3934.0,27
27,1997.4,Oversized t-shirts,3901.0,3891.0,28
28,1997.4,Am I good?,3759.0,3695.0,29
29,1997.4,Women (fearful),3734.0,3650.0,30
30,1997.4,Hreflang,3731.0,3724.0,31
31,1997.4,Everyone is racist?,3711.0,3653.0,32
32,1997.4,Not learning languages,3705.0,3620.0,33
33,1997.4,What is KPI?,3703.0,3683.0,34
34,1997.4,Money,3702.0,3677.0,35
35,1997.4,Travel,3683.0,3620.0,36
36,1997.4,Using chopsticks,3649.0,3600.0,37
37,1997.4,Why does my skin hate me?,3603.0,3569.0,38
38,1997.4,Jupyter,3511.0,3445.0,39
39,1997.4,I know pretty much everything,3503.0,3434.0,40
40,1997.4,Getting swole,3501.0,3481.0,41
41,1997.4,Brexit,3477.0,3428.0,42
42,1997.4,Exams,3465.0,3456.0,43
43,1997.4,Harry Potter,3448.0,3379.0,44
44,1997.4,"Oh no, THIS is grown up",3321.0,3315.0,45
45,1997.4,Rap,3247.0,3241.0,46
0,1997.5,Food/drink,4893367.0,4788910.0,1
1,1997.5,RUNNING,4073453.0,3955429.0,2
2,1997.5,Need a nap,3724994.0,3663356.0,3
3,1997.5,Chewing,2501144.0,2438944.0,4
4,1997.5,Loud noises,1616215.0,1559904.0,5
5,1997.5,Tying my shoes,1482630.0,1393665.0,6
6,1997.5,The dark?,1410560.0,721200.0,7
7,1997.5,Cartoons,1408660.0,1156500.0,8
8,1997.5,Bored. I might make noise,1143351.0,1143271.0,9
9,1997.5,I'm going to be sick,1117399.0,1117388.0,10
10,1997.5,Trampolines,765516.0,700085.0,11
11,1997.5,What colour is that?,731368.0,731299.0,12
12,1997.5,Have I pooped myself?,700037.0,699986.0,13
13,1997.5,"No, don't carry me there",683433.0,683429.0,14
14,1997.5,Teeth are the worst,627760.0,609300.0,15
15,1997.5,Who the f**k is this?,562400.0,515700.0,16
16,1997.5,Walking,408462.0,408449.0,17
17,1997.5,Bugs,313419.0,313353.0,18
18,1997.5,My toy,302881.0,302788.0,19
19,1997.5,Eugh these clothes,277117.0,277023.0,20
20,1997.5,What is that smell?,258852.0,258780.0,21
21,1997.5,Games,230660.0,186300.0,22
22,1997.5,Who the frick is this?,162718.0,162661.0,23
23,1997.5,I don't know anything,4208.0,4194.0,24
24,1997.5,We MUST meet up more,4085.0,4020.0,25
25,1997.5,Women (interested),4052.0,3996.0,26
26,1997.5,Oversized t-shirts,3968.0,3901.0,27
27,1997.5,When will I grow up?,3967.0,3936.0,28
28,1997.5,Am I good?,3821.0,3759.0,29
29,1997.5,Everyone is racist?,3808.0,3711.0,30
30,1997.5,Hreflang,3779.0,3731.0,31
31,1997.5,What is KPI?,3777.0,3703.0,32
32,1997.5,Not learning languages,3761.0,3705.0,33
33,1997.5,Women (fearful),3748.0,3734.0,34
34,1997.5,Money,3730.0,3702.0,35
35,1997.5,Travel,3702.0,3683.0,36
36,1997.5,Using chopsticks,3652.0,3649.0,37
37,1997.5,Why does my skin hate me?,3618.0,3603.0,38
38,1997.5,Jupyter,3577.0,3511.0,39
39,1997.5,I know pretty much everything,3574.0,3503.0,40
40,1997.5,Getting swole,3556.0,3501.0,41
41,1997.5,Exams,3548.0,3465.0,42
42,1997.5,Brexit,3535.0,3477.0,43
43,1997.5,Harry Potter,3491.0,3448.0,44
44,1997.5,"Oh no, THIS is grown up",3406.0,3321.0,45
45,1997.5,Rap,3311.0,3247.0,46
0,1997.6,Food/drink,4974246.0,4893367.0,1
1,1997.6,RUNNING,4231337.0,4073453.0,2
2,1997.6,Need a nap,3780509.0,3724994.0,3
3,1997.6,Chewing,2535850.0,2501144.0,4
4,1997.6,Cartoons,1883805.0,1408660.0,5
5,1997.6,Loud noises,1656683.0,1616215.0,6
6,1997.6,The dark?,1232385.0,1410560.0,7
7,1997.6,Bored. I might make noise,1143366.0,1143351.0,8
8,1997.6,I'm going to be sick,1117452.0,1117399.0,9
9,1997.6,Tying my shoes,1111110.0,1482630.0,10
10,1997.6,Teeth are the worst,875105.0,627760.0,11
11,1997.6,Trampolines,792913.0,765516.0,12
12,1997.6,What colour is that?,731468.0,731368.0,13
13,1997.6,Have I pooped myself?,700130.0,700037.0,14
14,1997.6,"No, don't carry me there",683513.0,683433.0,15
15,1997.6,Who the f**k is this?,534380.0,562400.0,16
16,1997.6,Walking,408489.0,408462.0,17
17,1997.6,Bugs,313437.0,313419.0,18
18,1997.6,My toy,302912.0,302881.0,19
19,1997.6,Games,278740.0,230660.0,20
20,1997.6,Eugh these clothes,277158.0,277117.0,21
21,1997.6,What is that smell?,258946.0,258852.0,22
22,1997.6,Who the frick is this?,162811.0,162718.0,23
23,1997.6,I don't know anything,4273.0,4208.0,24
24,1997.6,We MUST meet up more,4181.0,4085.0,25
25,1997.6,Women (interested),4143.0,4052.0,26
26,1997.6,When will I grow up?,3983.0,3967.0,27
27,1997.6,Oversized t-shirts,3977.0,3968.0,28
28,1997.6,Everyone is racist?,3855.0,3808.0,29
29,1997.6,What is KPI?,3844.0,3777.0,30
30,1997.6,Am I good?,3834.0,3821.0,31
31,1997.6,Hreflang,3821.0,3779.0,32
32,1997.6,Money,3809.0,3730.0,33
33,1997.6,Not learning languages,3788.0,3761.0,34
34,1997.6,Travel,3751.0,3702.0,35
35,1997.6,Women (fearful),3751.0,3748.0,36
36,1997.6,Using chopsticks,3727.0,3652.0,37
37,1997.6,Exams,3646.0,3548.0,38
38,1997.6,Why does my skin hate me?,3641.0,3618.0,39
39,1997.6,Jupyter,3603.0,3577.0,40
40,1997.6,Getting swole,3597.0,3556.0,41
41,1997.6,I know pretty much everything,3596.0,3574.0,42
42,1997.6,Brexit,3583.0,3535.0,43
43,1997.6,Harry Potter,3582.0,3491.0,44
44,1997.6,"Oh no, THIS is grown up",3460.0,3406.0,45
45,1997.6,Rap,3376.0,3311.0,46
0,1997.7,Food/drink,5121859.0,4974246.0,1
1,1997.7,RUNNING,4394867.0,4231337.0,2
2,1997.7,Need a nap,3856079.0,3780509.0,3
3,1997.7,Chewing,2610961.0,2535850.0,4
4,1997.7,Cartoons,2115204.0,1883805.0,5
5,1997.7,The dark?,1745016.0,1232385.0,6
6,1997.7,Loud noises,1709156.0,1656683.0,7
7,1997.7,Bored. I might make noise,1143466.0,1143366.0,8
8,1997.7,I'm going to be sick,1117551.0,1117452.0,9
9,1997.7,Tying my shoes,1040130.0,1111110.0,10
10,1997.7,Teeth are the worst,1006824.0,875105.0,11
11,1997.7,Trampolines,864487.0,792913.0,12
12,1997.7,Who the f**k is this?,829374.0,534380.0,13
13,1997.7,What colour is that?,731487.0,731468.0,14
14,1997.7,Have I pooped myself?,700134.0,700130.0,15
15,1997.7,"No, don't carry me there",683589.0,683513.0,16
16,1997.7,Walking,408495.0,408489.0,17
17,1997.7,Games,337974.0,278740.0,18
18,1997.7,Bugs,313505.0,313437.0,19
19,1997.7,My toy,302931.0,302912.0,20
20,1997.7,Eugh these clothes,277243.0,277158.0,21
21,1997.7,What is that smell?,259044.0,258946.0,22
22,1997.7,Who the frick is this?,162884.0,162811.0,23
23,1997.7,I don't know anything,4290.0,4273.0,24
24,1997.7,We MUST meet up more,4272.0,4181.0,25
25,1997.7,Women (interested),4171.0,4143.0,26
26,1997.7,When will I grow up?,4047.0,3983.0,27
27,1997.7,Oversized t-shirts,3983.0,3977.0,28
28,1997.7,Everyone is racist?,3928.0,3855.0,29
29,1997.7,Hreflang,3913.0,3821.0,30
30,1997.7,Am I good?,3909.0,3834.0,31
31,1997.7,What is KPI?,3899.0,3844.0,32
32,1997.7,Money,3859.0,3809.0,33
33,1997.7,Travel,3832.0,3751.0,34
34,1997.7,Not learning languages,3828.0,3788.0,35
35,1997.7,Women (fearful),3824.0,3751.0,36
36,1997.7,Using chopsticks,3770.0,3727.0,37
37,1997.7,Why does my skin hate me?,3679.0,3641.0,38
38,1997.7,Brexit,3672.0,3583.0,39
39,1997.7,Harry Potter,3660.0,3582.0,40
40,1997.7,Exams,3659.0,3646.0,41
41,1997.7,Getting swole,3629.0,3597.0,42
42,1997.7,Jupyter,3616.0,3603.0,43
43,1997.7,I know pretty much everything,3604.0,3596.0,44
44,1997.7,"Oh no, THIS is grown up",3538.0,3460.0,45
45,1997.7,Rap,3474.0,3376.0,46
0,1997.8,Food/drink,5246868.0,5121859.0,1
1,1997.8,RUNNING,4574780.0,4394867.0,2
2,1997.8,Need a nap,3980367.0,3856079.0,3
3,1997.8,Chewing,2680840.0,2610961.0,4
4,1997.8,Cartoons,2139004.0,2115204.0,5
5,1997.8,Tying my shoes,1828218.0,1040130.0,6
6,1997.8,Loud noises,1772245.0,1709156.0,7
7,1997.8,The dark?,1348767.0,1745016.0,8
8,1997.8,Bored. I might make noise,1143481.0,1143466.0,9
9,1997.8,I'm going to be sick,1117577.0,1117551.0,10
10,1997.8,Trampolines,938627.0,864487.0,11
11,1997.8,Who the f**k is this?,869316.0,829374.0,12
12,1997.8,Teeth are the worst,823970.0,1006824.0,13
13,1997.8,What colour is that?,731582.0,731487.0,14
14,1997.8,Have I pooped myself?,700229.0,700134.0,15
15,1997.8,"No, don't carry me there",683625.0,683589.0,16
16,1997.8,Walking,408533.0,408495.0,17
17,1997.8,Bugs,313561.0,313505.0,18
18,1997.8,My toy,302956.0,302931.0,19
19,1997.8,Eugh these clothes,277318.0,277243.0,20
20,1997.8,What is that smell?,259115.0,259044.0,21
21,1997.8,Games,244979.0,337974.0,22
22,1997.8,Who the frick is this?,162941.0,162884.0,23
23,1997.8,I don't know anything,4355.0,4290.0,24
24,1997.8,We MUST meet up more,4307.0,4272.0,25
25,1997.8,Women (interested),4187.0,4171.0,26
26,1997.8,When will I grow up?,4112.0,4047.0,27
27,1997.8,Hreflang,4004.0,3913.0,28
28,1997.8,Oversized t-shirts,3994.0,3983.0,29
29,1997.8,Everyone is racist?,3972.0,3928.0,30
30,1997.8,What is KPI?,3956.0,3899.0,31
31,1997.8,Money,3947.0,3859.0,32
32,1997.8,Am I good?,3939.0,3909.0,33
33,1997.8,Women (fearful),3900.0,3824.0,34
34,1997.8,Travel,3864.0,3832.0,35
35,1997.8,Using chopsticks,3856.0,3770.0,36
36,1997.8,Not learning languages,3855.0,3828.0,37
37,1997.8,Getting swole,3728.0,3629.0,38
38,1997.8,Harry Potter,3725.0,3660.0,39
39,1997.8,Brexit,3708.0,3672.0,40
40,1997.8,Exams,3699.0,3659.0,41
41,1997.8,Why does my skin hate me?,3688.0,3679.0,42
42,1997.8,Jupyter,3677.0,3616.0,43
43,1997.8,I know pretty much everything,3629.0,3604.0,44
44,1997.8,Rap,3553.0,3474.0,45
45,1997.8,"Oh no, THIS is grown up",3538.0,3538.0,46
0,1997.9,Food/drink,5377928.0,5246868.0,1
1,1997.9,RUNNING,4833210.0,4574780.0,2
2,1997.9,Need a nap,4121479.0,3980367.0,3
3,1997.9,Chewing,2763720.0,2680840.0,4
4,1997.9,Tying my shoes,2133360.0,1828218.0,5
